cls,top,euclidean,2.564606302352465,1.912897918831176,16.290023803710938
cls,unlikely,euclidean,3.516405648501908,2.137296463959862,18.57577896118164
cls,random,euclidean,4.56935650761227,2.536703817017219,17.81045150756836
token,top,euclidean,14.840134479130635,6.081283948152485,30.803707122802734
token,unlikely,euclidean,18.974926657144394,2.9697936277638233,30.685100555419922
token,random,euclidean,21.710410741994796,2.916506212591367,31.316017150878906
cls,top,cosine,0.01692729536548788,0.02672659566340701,0.39268696308135986
cls,unlikely,cosine,0.028045376137206524,0.03812006642168361,0.46491360664367676
cls,random,cosine,0.04521223261784657,0.05125069035281259,0.4624994993209839
token,top,cosine,0.32728373782221487,0.19306283643573152,1.0486815460026264
token,unlikely,cosine,0.46046917814346056,0.14311951474036066,1.0466157421469688
token,random,cosine,0.5655012490675843,0.15652392161399162,1.0559600852429867
cls,top,manhattan,56.441593,42.142067,360.5559
cls,unlikely,manhattan,77.33776,47.12555,411.19315
cls,random,manhattan,100.41996,55.997192,387.04932
token,top,manhattan,322.9493,132.29453,636.0481
token,unlikely,manhattan,411.94818,64.42777,671.64197
token,random,manhattan,467.5752,65.324165,649.7884
